text,Label
مبروك! فزت بباقة انترنت مجانية. اضغط على mobily-rewards.cc للاستلام.,0
تم اكتشاف تسجيل دخول غير مصرح به على حسابك، يرجى الدخول إلى stc-portal.net لتفعيل حماية الحساب.,0
تم اكتشاف تسجيل دخول غير معتاد على حسابك، يرجى الدخول على stc-portal.net لتغيير كلمة المرور.,0
تم تسجيل دخولك على شبكة الإنترنت. لا تنسى تفعيل حزمة البيانات لتجنب تكاليف إضافية. زين.,1
تحذير! تم اكتشاف تغييرات غير مصرح بها على حسابك. قم بتحديث البيانات لتأمين الحساب.,0
تذكير: قم بتجديد باقة البيانات الخاصة بك لتجنب انقطاع الخدمة، stc.com.sa/renewal,1
احصل على هاتف ذكي بأقساط ميسرة. قم بزيارة zain.com.sa لمعرفة المزيد عن العروض والتفاصيل.,1
الرسالة: تم اكتشاف عمليات احتيال على حسابك مع zain-pay.online، قم بتغيير كلمة المرور لحماية حسابك.,0
عرض خاص: باقة اتصالات مجانية لمدة أسبوع، احصل عليها الآن.,1
Zain: استمتع بعرض خاص على باقة الدقائق الوطنية. احصل على 500 دقيقة مجاناً!,1
احصل على تجربة مميزة مع باقات البيانات الشهرية لدينا. mobily.,1
نود تذكيرك بضرورة تحديث بياناتك الشخصية لدينا. قم بزيارة stc.com.sa/update لتحديثها الآن.,1
تهانينا! فزت بجائزة نقدية مؤقتة. قم بالدخول إلى zain-pay.online لتأكيد معلوماتك واستلام الجائزة.,0
تنبيه: تم اكتشاف انتهاك في استخدام البيانات الخاصة بك، يرجى تحديث المعلومات على zain-pay.online لحماية الحساب.,0
حظرنا حسابك بسبب انتهاكات عديدة، اضغط على zain-pay.online لتقديم طلب استئناف.,0
موبايلي: تقييمك لزيارتك الأخيرة يهمنا، يُرجى تقديم تعليقاتك على خدماتنا لتحسين تجربتك المقبلة.,1
مرحباً بك في زين السعودية. تم تفعيل باقة الإنترنت الشهرية الخاصة بك بنجاح.,1
شحن رصيدك واحصل على عرض خاص على باقات الاتصال من mobily.com.sa,1
Zain: اشترك الآن في باقة الإنترنت الشهرية واحصل على خصم خاص.,1
تحقق من حسابك الآن! ادخل إلى zain-pay.online لمزيد من التفاصيل وتجنب فصل الخدمة.,0
تم حظر حسابك بسبب انتهاكات في سياسة الاستخدام الخاصة بنا. يرجى زيارة zain-pay.online لاستعادة حسابك.,0
استمتع بخدمة الإنترنت السريعة مع باقات stc. قم بتحميل تطبيق stc لمعرفة المزيد عبر stc.com.sa/app,1
نود إعلامكم بأن حسابكم قد تم تعليقه بشكل مؤقت. لإعادة التفعيل يُرجى زيارة mobily-rewards.cc,0
استمتع بأقوى عروض الإنترنت الآن مع باقاتنا المميزة. stc.,1
استمتع بأقوى عروض الإنترنت والمكالمات مع باقاتنا المميزة. zain.,1
