text,Label
يرجى إجراء تحديث بيانات نفاذ الآن لضمان عدم توقف معاملاتكم البنكية والحكومية. أكمل عملية التحقق عبر الرابط التالي: https://www.logipoint.govl/,0
"بنك الجزيرة: عملية سحب نقدي 3,000 ريال.",1
سلام: استهلاكك للبيانات وصل 80%. لترقية باقتك زر alrajhi.com.sa,1
تذكير: لديك موعد مجدول غداً الساعة 14:30. لإدارة الموعد: https://tawakkalna.sdaia.gov.sa/,1
تنويه من دعم DHL: شحنتكم قيد الانتظار لوجود مستحقات جمركية معلقة. يرجى زيارة https://www.moh.gov.comsa/ لتسوية البيانات وتفعيل الشحنة. رقم الطلب: 770487,0
تنبيه: تم تعليق حسابك بسبب مشاكل دفع. سارع بتسوية الأمور على stc-portal.net.,0
إشعار أمني من البنك السعودي للاستثمار (SAIB): تم اكتشاف نشاط غير معتاد على حسابكم. لتأمين حسابكم، يرجى إتمام عملية التحقق من الهوية عبر الرابط التالي: https://www.zajil-express.govl/,0
أبشر: تم تحديث بياناتك بنجاح عبر المنصة.,1
تحديث من FedEx: طردك قيد التوصيل حالياً، ومن المتوقع وصوله يوم الأحد. يمكنك متابعة حالة الشحنة عبر https://www.zajil-express.com/.,1
زاجل: طلبك قيد التوصيل حالياً. من المتوقع وصوله يوم الأحد. https://www.madarat.com/,1
زين: تم اكتشاف تسجيل دخول غير مصرح على حسابك. يرجى الدخول إلى myzain.xyz,0
استمتع بخدمات الإنترنت الرائعة مع زين! سجل الآن على zain-pay.online للحصول على عروض خاصة.,0
تم اكتشاف تسجيل دخول غير معتاد على حسابك، يرجى تأكيد هويتك على stc-portal.net لحماية حسابك.,0
لديك فرصة للفوز بجوائز قيمة! ادخل الرابط mobily-rewards.cc الآن واحصل على فرصتك في السحب.,0
مبروك! لقد فزت بجائزة نقدية من سُبل. للمطالبة بالجائزة، أدخل بياناتك البنكية هنا: http://spl-sa-check.online/,0
عميلنا العزيز، نود إفادتكم بأن حسابكم لدى FedEx قد تعرض للإيقاف. لاستكمال عملية تفعيل الحساب وإثبات ملكية الهوية، يرجى زيارة الرابط التالي: https://www.sab.win/,0
تهانينا! لقد تم اختيارك للفوز بجائزة قيمة من شركة الاتصالات السعودية. يرجى زيارة https://www.saib.win.sa/ لاستكمال إجراءات استلام هديتك.,0
تم تأكيد تغيير كلمة المرور الخاصة بك. حافظ على سرية المعلومات الخاصة بك.,1
أنت الفائز! زين تقدم لك آيفون 16 برو ماكس. استلمها الآن: http://rb.gy/cqtRQVJJ مع تحيات فريق الدعم.,0
تفيدكم سمسا بأن شحنتكم باتت الآن في مركز التوزيع الخاص بمدينتكم. لمتابعة حالة الطلب يمكنك زيارة https://www.stcbank.com.sa/,1
حالة الشحنة: جاري التوصيل حالياً. من المتوقع وصولها إليكم يوم الأربعاء. لمتابعة التفاصيل يمكنك زيارة https://www.aljedaie.com/.,1
ناقل: شحنتك وصلت مركز التوزيع في الرياض.,1
تذكير: قم بإعادة تحميل رصيدك لتجنب توقف الخدمة. زور mobily.com.sa لمزيد من التفاصيل والعروض.,1
"الجزيرة: عملية شراء بمبلغ 10,000 ريال من ايكيا.",1
stc: إشعار - موعد انتهاء صلاحية باقتك الحالي اقترب. يمكنك التجديد عبر الرابط التالي: https://www.stcbank.com.sa/,1
أنت الفائز! ساب تقدم لك رحلة مجانية. استلمها الآن: sab-ksa.online,0
مقيم: لديك إشعار جديد http://t.co/hqB2r4,0
تحديث من DHL: طردك حالياً قيد التوصيل، ومن المتوقع وصوله يوم الأربعاء. للمتابعة https://www.sdaia.gov.sa/,1
هذه رسالة آلية. تنبيه أمني من Zain: عمليات غير معتادة. قم بتحديث بياناتك على zain-ksa.online,0
سعدنا بتسوقك معنا. يسعدنا معرفة رأيك في خدماتنا عبر https://www.saudicall.com.sa/ لنتمكن من تقديم الأفضل لك دائماً.,1
رمز OTP الخاص بك لاستكمال عملية تسجيل الدخول: 123456 (من zain.com.sa),1
فرصة لا تفوت! استفد من خصم بقيمة 40% عند قيامك بتجديد باقتك السنوية مع stc. يمكنك إتمام عملية الدفع عبر https://www.meem.com/,1
نحيطكم علماً بضرورة إجراء تحديث فوري لبيانات حسابكم الخاص. نرجو منكم الدخول عبر https://www.go.win.sa/ لتفادي انقطاع الخدمة عنكم خلال الأيام القادمة.,0
رمز التحقق الخاص بك لنسخة الاحتياطية هو 987654. يُرجى الاحتفاظ به بأمان.,1
نمشي: نرجو منك إتمام عملية السداد لطلبك رقم #28702. يرجى مراجعة وتحديث معلومات الدفع عبر الرابط التالي: https://www.saudicall.reward.sa/,0
نعلمك بأن حسابك بحاجة إلى تحديث عاجل. يرجى زيارة الرابط stc-portal.net لتجنب فصل الخدمة في الفترة القادمة.,0
"تنبيه من البنك العربي: تم رصد طلب تحويل بقيمة 10,000 ريال يتطلب موافقتك. يرجى إتمام عملية التحقق عبر الرابط التالي: https://www.d360.win/. للتواصل مع خدمة العملاء: 920000XXX",0
لا ترد على هذه الرسالة. المرور: سيتم تعليق خدماتك بدون تحديث. اضغط على الرابط moroor.corn.sa,0
إشعار رسمي: صحتي: سيتم تعليق خدماتك بدون تحديث. سارع بالدخول إلى sehaty.com.co رقم المرجع: 770487,0
عميلنا العزيز، نود إحاطتكم علماً بأن حسابكم لدى UPS قد توقف مؤقتاً. لتجنب أي مشاكل في الشحن، يرجى الدخول عبر https://www.alahli.win/ لإتمام عملية تفعيل الحساب وتقديم بيانات الهوية المطلوبة.,0
فني الصيانة سيزورك اليوم. للتنسيق: 0550241177,1
لقد تسلمنا طلبك، وجارٍ العمل على تنفيذه حالياً. نقدر ثقتك بنا.,1
مبارك لك! تم اختيارك للفوز بمكافأة مالية من البنك العربي الوطني (ANB) قدرها 5000 ريال سعودي. يمكنك إتمام عملية الاستلام عبر التسجيل من خلال هذا الرابط: https://www.saib.win.sa/,0
تحديث حالة الطلب: طلبك رقم 712105 يتم العمل عليه الآن من قبل فريقنا.,1
