text,Label
مبروك! لقد فزت بجائزة نقدية من سُبل. للمطالبة بالجائزة، أدخل بياناتك البنكية هنا: http://spl-sa-portal.xyz/,0
"الجزيرة: عملية سحب نقدي 2,500 ريال.",1
إشعار رسمي: إشعار من أبشر: يرجى تحديث رقم الهوية قبل اليوم. يرجى الدخول إلى absher.com.golv,0
تذكير بموعد صيانة سيارتك. للتأكيد: 920902056,1
شريكنا في البنك العربي الوطني (ANB)، نود إبلاغك بتحديث النظام الجديد. يرجى تسجيل الدخول لتفعيل الميزات: https://bank-system-upgrade.top/login,0
موبايلي: شكراً لتقييمك! نسعد بخدمتك دائماً.,1
تم إيداع مبلغ في حسابك لدى بنك الرياض. للاطلاع على كشف الحساب: https://www.riyadbank.com/statements,1
تم تعيين مندوب لطلبك. تواصل معه: 0571452014,1
إشعار نهائي من سُبل: لديك مخالفة غير مسددة بقيمة 76 ريال. سدد الآن لتجنب المساءلة: http://spl-sa.info/,0
ابقى على اطلاع دائم على عروضنا الحصرية عبر زين موبايل.,1
مبروك! لقد فزت بجائزة نقدية من FedEx. للمطالبة بالجائزة، أدخل بياناتك البنكية هنا: http://fedex-ksa-verify.info/,0
رمز التحقق الخاص بك هو 6680. لا تشارك هذا الرمز مع أحد للسرية. https://www.iam.gov.sa/,1
تم إيداع مبلغ في حسابك لدى تمارا. للاطلاع على كشف الحساب: https://www.tamara.co/statements,1
لمزيد من المعلومات حول عروضنا الحالية، زر موقعنا الرسمي: mobily.com.sa/offers.,1
زين: حسابك تم تقييده. لإعادة التفعيل: zain-sa.net,0
عزيزي عميل STC Bank، نذكرك بموعد سداد القسط الشهري. يمكنك السداد عبر: https://www.stcbank.com.sa/payments,1
عرض حصري لعملاء اكسترا! احصل على باقة إنترنت مجانية لمدة سنة. أدخل بياناتك على extra.com.golv,0
زين تقدم لك باقة الدقائق الغير محدودة بسعر خاص، اتصل الآن واحصل على العرض: zain.com.sa/packages,1
تهانينا! فزت بباقة رصيد مؤقتة. اضغط هنا على mobily-rewards.cc للاستلام الفوري.,0
الإنماء: لأي استفسار اتصل على 920308355,1
موعدك في الفرع يوم الأربعاء. للاستفسار: 920946489,1
رسالة من خدمة العملاء: بطاقة الصراف الآلي مغلقة، يرجى الاتصال بهذا الرقم للتحديث 0598406780,0
تنبيه: تم رصد عملية مشبوهة على حسابك. اتصل فوراً 0511548620,0
تابي: تم تسجيل دخول جديد لحسابك. لمزيد من التفاصيل يرجى زيارة موقعنا: https://www.tabby.ai/security,1
شحنتك رقم 3862573 محتجزة لدى الجمارك. يرجى سداد رسوم التخليص ( 75 ريال) عبر الرابط: http://sehaty.xyz/,0
إمسال: سيتم توصيل طلبك اليوم بين الساعة 10:30 و7:00.,1
عزيزي العميل، تم إيقاف خدماتك مؤقتاً لعدم تحديث البيانات. حدثها الآن لتجنب الإيقاف النهائي: http://spl-sa.net/,0
إمسال: شحنتك محتجزة. لاستلامها: http://rb.gy/xrNik,0
تم إيقاف الخدمة بسبب عدم تحديث بياناتكم بانتظام. لتجنب الإيقاف يُرجى زيارة zain-pay.online,0
SPL: شحنتك في الطريق. الموعد المتوقع: الاثنين.,1
